localisation,lat,lon
Chotrana 3,36.8924081,10.2289033
Jabbes,36.4421951,9.9256994
Chotrana 1,36.8811985,10.211819
La Soukra,36.8749751,10.2454267
Ariana,36.968573500000005,10.121985506329507
Borj Touil,36.9232224,10.13990607131614
Cite Essaada,35.6852992,-0.661184
Ain Zaghouan,36.85483045,10.284758568816503
Ras Tabia,36.82006795,10.145248365058386
Cite Ennasr 2,33.47291145,6.79742564464398
Kelibia,36.8456561,11.0935701
Chorfech,36.9485207,10.04941679777116
El Manar 1,36.83361875,10.147173643750003
Mnihla,36.8533475,10.1169734
La Mannouba,36.81699485,10.060585998280875
